country,mot_cle,score
Ukraine,crypto,10
Uruguay,crypto,10
Vanuatu,crypto,19
Venezuela,crypto,8
Viêt Nam,crypto,14
Wallis-et-Futuna,crypto,0
Yémen,crypto,8
Zambie,crypto,10
Zimbabwe,crypto,21
Égypte,crypto,7
Émirats arabes unis,crypto,49
Équateur,crypto,6
Érythrée,crypto,0
État de la Cité du Vatican,crypto,0
États-Unis,crypto,34
Éthiopie,crypto,33
Île Bouvet,crypto,0
Île Christmas,crypto,0
Île Norfolk,crypto,0
Île de Man,crypto,49
Îles Caïmans,crypto,100
Îles Cocos,crypto,0
Îles Cook,crypto,27
Îles Féroé,crypto,26
Îles Heard-et-MacDonald,crypto,0
Îles Malouines (Îles Falkland),crypto,0
Îles Mariannes du Nord,crypto,21
Îles Marshall,crypto,28
Îles Pitcairn,crypto,0
Îles Salomon,crypto,10
Îles Turques-et-Caïques,crypto,29
Îles Vierges britanniques,crypto,63
Îles Vierges des États-Unis,crypto,38
Îles mineures éloignées des États-Unis,crypto,0
Îles Åland,crypto,28
Afghanistan,Netflix,9
Afrique du Sud,Netflix,75
Albanie,Netflix,40
Algérie,Netflix,19
Allemagne,Netflix,46
Andorre,Netflix,67
Angola,Netflix,42
Anguilla,Netflix,70
Antarctique,Netflix,0
Antigua-et-Barbuda,Netflix,62
Arabie saoudite,Netflix,20
Argentine,Netflix,78
Arménie,Netflix,11
Aruba,Netflix,69
Australie,Netflix,58
Autriche,Netflix,47
Azerbaïdjan,Netflix,20
Bahamas,Netflix,64
Bahreïn,Netflix,35
Bangladesh,Netflix,14
Barbade,Netflix,56
Belgique,Netflix,60
Belize,Netflix,54
Bermudes,Netflix,69
Bhoutan,Netflix,46
Biélorussie,Netflix,2
Bolivie,Netflix,48
Bosnie-Herzégovine,Netflix,38
Botswana,Netflix,93
Brunei,Netflix,67
Brésil,Netflix,56
Bulgarie,Netflix,19
Burkina Faso,Netflix,20
Burundi,Netflix,28
Bénin,Netflix,35
Cambodge,Netflix,24
Cameroun,Netflix,25
Canada,Netflix,59
