country,mot_cle,score,country_clean
Russie,crypto,8,russia
Rwanda,crypto,17,rwanda
République centrafricaine,crypto,9,republique centrafricaine
République dominicaine,crypto,8,republique dominicaine
Sahara occidental,crypto,13,sahara occidental
Saint-Barthélemy,crypto,37,saint-barthelemy
Saint-Christophe-et-Niévès,crypto,27,saint-christophe-et-nieves
Saint-Marin,crypto,23,saint-marin
Saint-Martin,crypto,59,saint-martin
Saint-Martin (partie néerlandaise),crypto,44,saint-martin (partie neerlandaise)
Saint-Pierre-et-Miquelon,crypto,0,saint-pierre-et-miquelon
Saint-Vincent-et-les Grenadines,crypto,34,saint-vincent-et-les grenadines
Sainte-Hélène,crypto,69,sainte-helene
Sainte-Lucie,crypto,38,sainte-lucie
Salvador,crypto,6,salvador
Samoa,crypto,11,samoa
Samoa américaines,crypto,27,samoa americaines
Sao Tomé-et-Principe,crypto,0,sao tome-et-principe
Serbie,crypto,20,serbie
Seychelles,crypto,22,seychelles
Sierra Leone,crypto,16,sierra leone
Singapour,crypto,58,singapore
Slovaquie,crypto,17,slovakia
Slovénie,crypto,42,slovenia
Somalie,crypto,71,somalie
Soudan,crypto,5,soudan
Soudan du Sud,crypto,16,soudan du sud
Sri Lanka,crypto,28,sri lanka
Suisse,crypto,36,switzerland
Suriname,crypto,34,suriname
Suède,crypto,19,sweden
Svalbard et Jan Mayen,crypto,56,svalbard et jan mayen
Syrie,crypto,6,syrie
Sénégal,crypto,15,senegal
Tadjikistan,crypto,7,tadjikistan
Tanzanie,crypto,10,tanzanie
Taïwan,crypto,8,taiwan
Tchad,crypto,9,tchad
Tchéquie,crypto,16,czechia
Terres australes françaises,crypto,0,terres australes francaises
Territoire britannique de l’océan Indien,crypto,0,territoire britannique de locean indien
Thaïlande,crypto,13,thailand
Timor oriental,crypto,10,timor oriental
Togo,crypto,37,togo
Tokelau,crypto,0,tokelau
Tonga,crypto,29,tonga
Trinité-et-Tobago,crypto,30,trinite-et-tobago
Tunisie,crypto,18,tunisia
Turkménistan,crypto,5,turkmenistan
Turquie,crypto,6,turkey
Tuvalu,crypto,0,tuvalu
Ukraine,crypto,10,ukraine
Uruguay,crypto,10,uruguay
Vanuatu,crypto,19,vanuatu
Venezuela,crypto,8,venezuela
Viêt Nam,crypto,14,viet nam
Wallis-et-Futuna,crypto,0,wallis-et-futuna
Yémen,crypto,8,yemen
Zambie,crypto,10,zambie
Zimbabwe,crypto,21,zimbabwe
Égypte,crypto,7,egypt
Émirats arabes unis,crypto,49,united arab emirates
Équateur,crypto,6,equateur
Érythrée,crypto,0,erythree
État de la Cité du Vatican,crypto,0,etat de la cite du vatican
États-Unis,crypto,34,united states
Éthiopie,crypto,33,ethiopie
Île Bouvet,crypto,0,ile bouvet
Île Christmas,crypto,0,ile christmas
Île Norfolk,crypto,0,ile norfolk
Île de Man,crypto,49,ile de man
Îles Caïmans,crypto,100,iles caimans
Îles Cocos,crypto,0,iles cocos
Îles Cook,crypto,27,iles cook
Îles Féroé,crypto,26,iles feroe
Îles Heard-et-MacDonald,crypto,0,iles heard-et-macdonald
Îles Malouines (Îles Falkland),crypto,0,iles malouines (iles falkland)
Îles Mariannes du Nord,crypto,21,iles mariannes du nord
Îles Marshall,crypto,28,iles marshall
Îles Pitcairn,crypto,0,iles pitcairn
Îles Salomon,crypto,10,iles salomon
Îles Turques-et-Caïques,crypto,29,iles turques-et-caiques
Îles Vierges britanniques,crypto,63,iles vierges britanniques
Îles Vierges des États-Unis,crypto,38,iles vierges des etats-unis
Îles mineures éloignées des États-Unis,crypto,0,iles mineures eloignees des etats-unis
Îles Åland,crypto,28,iles aland
Afghanistan,Netflix,9,afghanistan
Afrique du Sud,Netflix,75,south africa
Albanie,Netflix,40,albania
Algérie,Netflix,19,algeria
Allemagne,Netflix,46,germany
Andorre,Netflix,67,andorre
Angola,Netflix,42,angola
Anguilla,Netflix,70,anguilla
Antarctique,Netflix,0,antarctique
Antigua-et-Barbuda,Netflix,62,antigua-et-barbuda
Arabie saoudite,Netflix,20,saudi arabia
Argentine,Netflix,78,argentina
Arménie,Netflix,11,armenia
Aruba,Netflix,69,aruba
Australie,Netflix,58,australia
Autriche,Netflix,47,austria
Azerbaïdjan,Netflix,20,azerbaidjan
Bahamas,Netflix,64,bahamas
Bahreïn,Netflix,35,bahrein
Bangladesh,Netflix,14,bangladesh
Barbade,Netflix,56,barbade
Belgique,Netflix,60,belgium
Belize,Netflix,54,belize
Bermudes,Netflix,69,bermudes
Bhoutan,Netflix,46,bhoutan
Biélorussie,Netflix,2,belarus
Bolivie,Netflix,48,bolivia
Bosnie-Herzégovine,Netflix,38,bosnie-herzegovine
Botswana,Netflix,93,botswana
Brunei,Netflix,67,brunei
Brésil,Netflix,56,brazil
Bulgarie,Netflix,19,bulgaria
Burkina Faso,Netflix,20,burkina faso
Burundi,Netflix,28,burundi
Bénin,Netflix,35,benin
Cambodge,Netflix,24,cambodia
Cameroun,Netflix,25,cameroon
Canada,Netflix,59,canada
Cap-Vert,Netflix,67,cap-vert
Chili,Netflix,66,chile
Chine,Netflix,25,china
Chypre,Netflix,58,chypre
Colombie,Netflix,67,colombia
Comores,Netflix,39,comores
Congo-Brazzaville,Netflix,39,congo-brazzaville
Congo-Kinshasa,Netflix,16,congo-kinshasa
Corée du Nord,Netflix,0,coree du nord
Corée du Sud,Netflix,16,south korea
Costa Rica,Netflix,59,costa rica
Croatie,Netflix,54,croatia
Cuba,Netflix,38,cuba
Curaçao,Netflix,69,curacao
Côte d’Ivoire,Netflix,42,cote divoire
Danemark,Netflix,48,denmark
Djibouti,Netflix,56,djibouti
Dominique,Netflix,65,dominique
Espagne,Netflix,62,spain
Estonie,Netflix,29,estonia
Eswatini,Netflix,39,eswatini
Fidji,Netflix,63,fidji
Finlande,Netflix,39,finland
France,Netflix,59,france
Gabon,Netflix,54,gabon
Gambie,Netflix,24,gambie
Ghana,Netflix,36,ghana
Gibraltar,Netflix,72,gibraltar
Grenade,Netflix,63,grenade
Groenland,Netflix,56,groenland
Grèce,Netflix,51,greece
Guadeloupe,Netflix,70,guadeloupe
Guam,Netflix,58,guam
Guatemala,Netflix,48,guatemala
Guernesey,Netflix,64,guernesey
Guinée,Netflix,21,guinee
Guinée équatoriale,Netflix,42,guinee equatoriale
